what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.powerflasher.fdt.core.launch,3.5.0.1094,com.powerflasher.fdt.core.launch,1361465649303
stopped,bundle,com.powerflasher.fdt.enterprise.ui,3.5.0.1094,com.powerflasher.fdt.enterprise.ui,1361465649303
stopped,bundle,com.powerflasher.fdt.enterprise.core,3.5.0.1094,com.powerflasher.fdt.enterprise.core,1361465649303
stopped,bundle,com.powerflasher.fdt.professional.core,3.5.0.1094,com.powerflasher.fdt.professional.core,1361465649303
stopped,bundle,com.powerflasher.fdt.swfviewer,3.5.0.1094,com.powerflasher.fdt.swfviewer,1361465649303
stopped,bundle,com.powerflasher.fdt.ui.swcoutline,3.5.0.1094,com.powerflasher.fdt.ui.swcoutline,1361465649303
stopped,bundle,com.powerflasher.fdt.ui,3.5.0.1094,com.powerflasher.fdt.ui,1361465649303
stopped,bundle,com.powerflasher.fdt.core,3.5.0.1094,com.powerflasher.fdt.core,1361465649305
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1361465649305
stopped,bundle,org.eclipse.jdt.launching.macosx,3.1.100.v20080422,org.eclipse.jdt.launching.macosx,1361465649305
stopped,bundle,org.eclipse.jst.common.annotations.ui,1.1.102.v200806010600,org.eclipse.jst.common.annotations.ui,1361465649305
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.emitter,1.1.102.v200805140135,org.eclipse.jst.j2ee.ejb.annotations.emitter,1361465649305
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v200901170137,org.eclipse.datatools.enablement.jdt.classpath,1361465649305
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.103.v200810081720,org.eclipse.wst.jsdt.web.support.jsp,1361465649305
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.ui,1361465649305
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.202.v200806190413,org.eclipse.jst.ws.axis2.ui,1361465649305
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.300.v200805140230,org.eclipse.jst.ws.uddiregistry,1361465649305
stopped,bundle,org.eclipse.jst.ws.ui,1.0.304.v200901271844,org.eclipse.jst.ws.ui,1361465649305
stopped,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1361465649344
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.ui,1361465649344
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ui,1361465649344
stopped,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1361465649345
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1361465649345
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1361465649347
stopped,bundle,org.eclipse.mylyn.help.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.help.ui,1361465649347
