what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.0.12.v200809172136,org.eclipse.wst.jsdt.ui,1361185569075
started,bundle,org.eclipse.wst.sse.core,1.1.302.v200808260045,org.eclipse.wst.sse.core,1361185569088
started,bundle,org.eclipse.wst.validation,1.2.2.v200809050219,org.eclipse.wst.validation,1361185569103
started,bundle,org.eclipse.wst.web,1.1.204.v200809132300,org.eclipse.wst.web,1361185569107
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1361185569121
started,bundle,org.eclipse.wst.xml.core,1.1.305.v200809120354,org.eclipse.wst.xml.core,1361185569132
started,bundle,com.powerflasher.fdt.core,3.5.0.1087,com.powerflasher.fdt.core,1361185569151
started,bundle,com.powerflasher.fdt.core.dom,3.5.0.1087,com.powerflasher.fdt.core.dom,1361185569152
started,bundle,com.powerflasher.fdt.core.mxml,3.5.0.1087,com.powerflasher.fdt.core.mxml,1361185569161
started,bundle,com.powerflasher.fdt.professional.ui,3.5.0.1087,com.powerflasher.fdt.professional.ui,1361185569161
started,bundle,com.powerflasher.fdt.ui,3.5.0.1087,com.powerflasher.fdt.ui,1361185569161
started,bundle,com.powerflasher.fdt.ui.launch,3.5.0.1087,com.powerflasher.fdt.ui.launch,1361185569176
started,bundle,com.powerflasher.fdt.ui.mxml,3.5.0.1087,com.powerflasher.fdt.ui.mxml,1361185569176
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361185569232
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361185570910
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1361185614359
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1361185614364
closed,view,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.internal.introview,1361185614396
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361185622476
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361228096886
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361228097803
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1361228099191
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1361228099208
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1361228099262
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1361228099296
