what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536753168
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1361536755970
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1361536756663
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1361536757065
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536758962
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536766185
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536767378
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1361536767831
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536778339
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1361536788109
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536789800
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536793597
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1361536801488
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1361536805195
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536806601
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536810013
started,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1361536814543
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1361536814640
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1361536815232
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1361536815263
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1361536815272
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1361536815822
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1361536816457
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1361536827003
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1361536829163
