what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1361535566125
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1361535566126
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1361535566126
started,bundle,org.eclipse.ui.net,1.0.0.I20080605,org.eclipse.ui.net,1361535566127
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1361535566127
started,bundle,org.eclipse.update.configurator,3.2.201.R34x_v20080819,org.eclipse.update.configurator,1361535566128
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1361535566129
started,bundle,org.eclipse.epp.usagedata.gathering,1.0.1.R200809220400,org.eclipse.epp.usagedata.gathering,1361535566129
started,bundle,org.eclipse.epp.usagedata.recording,1.0.1.R200809220400,org.eclipse.epp.usagedata.recording,1361535566129
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1361535566130
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1361535566130
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1361535566131
started,bundle,org.eclipse.jdt.launching.macosx,3.1.100.v20080422,org.eclipse.jdt.launching.macosx,1361535566131
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1361535566131
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1361535566132
started,bundle,com.powerflasher.fdt.core,3.5.0.1094,com.powerflasher.fdt.core,1361535566143
started,bundle,com.powerflasher.fdt.core.dom,3.5.0.1094,com.powerflasher.fdt.core.dom,1361535566143
started,bundle,com.powerflasher.fdt.core.mxml,3.5.0.1094,com.powerflasher.fdt.core.mxml,1361535566145
started,bundle,com.powerflasher.fdt.professional.ui,3.5.0.1094,com.powerflasher.fdt.professional.ui,1361535566145
started,bundle,com.powerflasher.fdt.ui,3.5.0.1094,com.powerflasher.fdt.ui,1361535566145
started,bundle,com.powerflasher.fdt.ui.launch,3.5.0.1094,com.powerflasher.fdt.ui.launch,1361535566152
started,bundle,com.powerflasher.fdt.ui.mxml,3.5.0.1094,com.powerflasher.fdt.ui.mxml,1361535566154
started,bundle,org.eclipse.core.expressions,3.4.1.r342_v20081203-0800,org.eclipse.core.expressions,1361535566165
started,bundle,org.eclipse.core.jobs,3.4.1.R34x_v20081128,org.eclipse.core.jobs,1361535566166
started,bundle,org.eclipse.core.resources,3.4.2.R34x_v20090126,org.eclipse.core.resources,1361535566166
