what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.core,1361721131526
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361721140281
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361721153223
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361721288039
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361721290592
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361721305365
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361721307849
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361721546925
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361721561409
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361721568046
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361721584972
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361722264472
opened,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1361722271776
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361722303217
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361722339089
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361722347120
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361722514262
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361722517096
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361725931077
started,bundle,org.eclipse.wst.server.core,1.1.3.v20090209,org.eclipse.wst.server.core,1361725933783
started,bundle,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui,1361725933798
started,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1361725935115
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361725935638
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361727577570
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1361727577661
