what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361534828291
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1361534828349
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1361534831927
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361534837426
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.selectAll,1361534850257
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361534955687
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1361534957044
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1361534957071
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1361534960029
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361534969391
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361535006118
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361535014410
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361535019082
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361535138467
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361535150990
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1361535153676
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1361535154067
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1361535154118
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1361535154568
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1361535154685
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1361535154837
started,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1361535154840
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361535154882
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361535169325
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361535172256
