what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536830549
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536835141
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536841585
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536859447
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536892358
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361538460040
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361538464434
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361538465357
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1361538478042
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361538478684
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361538479661
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361538479831
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361538480533
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361538481087
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361538482005
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361538483133
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361538484374
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1361538485891
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1361538498491
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361538505063
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1361547702213
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1361547702279
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1361547702364
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361547702896
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.102.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.ui,1361547704120
