what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536488070
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.selectAll,1361536493420
started,bundle,org.eclipse.jst.ejb.ui,1.1.203.v200810010400,org.eclipse.jst.ejb.ui,1361536526512
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.203.v200811060500,org.eclipse.jst.j2ee.ejb,1361536526569
started,bundle,org.eclipse.jst.j2ee.web,1.1.203.v200901290400,org.eclipse.jst.j2ee.web,1361536526794
started,bundle,org.eclipse.jst.common.frameworks,1.1.201.v200810161330,org.eclipse.jst.common.frameworks,1361536526820
started,bundle,org.eclipse.wst.web.ui,1.1.201.v200811240900,org.eclipse.wst.web.ui,1361536526920
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536555384
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1361536555437
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1361536555437
started,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1361536556125
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536556148
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536557061
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536560037
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536691973
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1361536692027
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536698127
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536707699
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536711429
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536712349
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536719875
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536722761
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536731148
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536731416
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1361536744030
