what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.102.v200809101946,org.eclipse.wst.wsdl.ui,1361439323047
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.400.v200805140300,org.eclipse.wst.wsi.ui,1361439323047
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.1.v200807241900,org.eclipse.wst.jsdt.web.ui,1361439323047
stopped,bundle,org.eclipse.wst.web.ui,1.1.200.v200805281530,org.eclipse.wst.web.ui,1361439323047
stopped,bundle,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.ui,1361439323047
stopped,bundle,org.eclipse.wst.css.ui,1.0.301.v200807170605,org.eclipse.wst.css.ui,1361439323047
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.103.v200809101755,org.eclipse.wst.xsd.ui,1361439323047
stopped,bundle,org.eclipse.wst.xml.ui,1.0.410.v200809120143,org.eclipse.wst.xml.ui,1361439323048
stopped,bundle,org.eclipse.wst.common.ui,1.1.301.v200805140415,org.eclipse.wst.common.ui,1361439323048
stopped,bundle,org.eclipse.wst.jsdt.ui,1.0.12.v200809172136,org.eclipse.wst.jsdt.ui,1361439323085
stopped,bundle,org.eclipse.wst.javascript.ui,1.0.200.v200805160650,org.eclipse.wst.javascript.ui,1361439323085
stopped,bundle,org.eclipse.wst.sse.ui,1.1.2.v200809120159,org.eclipse.wst.sse.ui,1361439323085
stopped,bundle,com.powerflasher.fdt.classpatheditor.ui,3.5.0.1087,com.powerflasher.fdt.classpatheditor.ui,1361439323085
stopped,bundle,com.powerflasher.fdt.core.debugger.adapter,3.5.0.1087,com.powerflasher.fdt.core.debugger.adapter,1361439323085
stopped,bundle,com.powerflasher.fdt.professional.ui,3.5.0.1087,com.powerflasher.fdt.professional.ui,1361439323085
stopped,bundle,com.powerflasher.fdt.ui.launch,3.5.0.1087,com.powerflasher.fdt.ui.launch,1361439323085
stopped,bundle,com.powerflasher.fdt.ui.mxml,3.5.0.1087,com.powerflasher.fdt.ui.mxml,1361439323085
stopped,bundle,com.powerflasher.fdt.core.mxml,3.5.0.1087,com.powerflasher.fdt.core.mxml,1361439323085
stopped,bundle,com.powerflasher.fdt.core.dom,3.5.0.1087,com.powerflasher.fdt.core.dom,1361439323085
stopped,bundle,com.powerflasher.fdt.core.flexProjectImporter,3.5.0.1087,com.powerflasher.fdt.core.flexProjectImporter,1361439323085
stopped,bundle,com.powerflasher.fdt.core.launch,3.5.0.1087,com.powerflasher.fdt.core.launch,1361439323085
stopped,bundle,com.powerflasher.fdt.doc.flash,3.2.0.1001,com.powerflasher.fdt.doc.flash,1361439323085
stopped,bundle,com.powerflasher.fdt.enterprise.ui,3.5.0.1087,com.powerflasher.fdt.enterprise.ui,1361439323085
stopped,bundle,com.powerflasher.fdt.enterprise.core,3.5.0.1087,com.powerflasher.fdt.enterprise.core,1361439323086
stopped,bundle,com.powerflasher.fdt.professional.core,3.5.0.1087,com.powerflasher.fdt.professional.core,1361439323086
